Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Kyle Schwarber,PHI,34.0104,27.9931,6.3128,2.1291,5.2677,5.2376,0.3741,0.352591,0.491568
Jose Altuve,HOU,31.5707,28.4351,7.3543,0.9844,3.7552,2.5635,0.2841,0.323936,0.414948
Jonathan Aranda,TBR,36.6255,31.8826,8.3307,1.235,4.6682,3.7724,0.586,0.34769,0.427932
Jac Caglianone,KCR,29.0585,26.4407,6.9867,1.3293,3.6227,1.9876,0.3778,0.322296,0.472722
Gleyber Torres,DET,29.9962,25.8321,6.5848,0.7587,3.7293,3.6145,0.21,0.348627,0.390154
Colson Montgomery,CHW,30.7594,27.3325,5.7032,1.411,3.4068,2.6146,0.5229,0.288102,0.405393
Brandon Nimmo,TEX,32.3842,28.6535,7.2928,1.0271,3.8523,3.0312,0.421,0.332434,0.418794
Andrés Giménez,TOR,26.9233,24.5243,6.0904,0.578,2.85,1.4,0.6731,0.304643,0.373214
Jakob Marsee,MIA,28.3646,24.2519,5.6752,0.6537,3.2128,3.3669,0.4538,0.335932,0.376956
Josh Naylor,SEA,31.2456,28.1987,7.5409,1.0119,3.6621,2.4934,0.2812,0.330724,0.424364
Henry Bolte,ATH,26.5369,23.6771,6.1148,0.786,3.3687,2.0593,0.4777,0.327915,0.414827
Ceddanne Rafaela,BOS,23.1855,21.6024,5.5812,0.6668,2.7493,1.0155,0.3014,0.298823,0.417717
Patrick Bailey,CLE,18.7731,16.8622,3.7795,0.4357,1.8203,1.5525,0.1314,0.292379,0.350737
Spencer Jones,NYY,30.6483,27.6167,6.4089,1.3911,3.6344,2.4825,0.2452,0.298848,0.435305
Munetaka Murakami,CHW,31.511,26.2609,5.6248,1.7475,4.2427,4.6636,0.2836,0.33644,0.448412
Seiya Suzuki,CHC,31.3357,27.1272,6.8877,1.2236,4.1851,3.6694,0.2193,0.345009,0.447945
Chase DeLauter,CLE,23.1052,20.4427,5.7675,0.7518,2.9822,2.329,0.1155,0.356212,0.460732
Luis García Jr.,NYY,25.8402,24.0806,6.522,1.244,3.3405,1.4135,0.1034,0.311804,0.486059
Willson Contreras,BOS,25.6744,21.9903,5.538,1.1118,3.3207,2.6599,0.8216,0.351739,0.460917
Michael Busch,CHC,32.2541,27.7986,6.7969,1.2924,4.0814,3.6802,0.4838,0.34047,0.441479
Brendan Donovan,SEA,20.4104,17.9488,4.7467,0.4367,2.3943,1.8716,0.3674,0.343735,0.393447
Carson Benge,NYM,30.1586,27.1177,7.1393,0.9131,3.6325,2.4067,0.3619,0.329303,0.419394
Sam Antonacci,CHW,28.9046,24.9691,6.6133,0.4846,3.6659,2.5725,1.0117,0.354894,0.386217
Joe Mack,MIA,21.2908,19.3042,4.4327,0.8063,2.3063,1.5202,0.1916,0.290128,0.39984
Max Clark,DET,25.0852,22.1828,5.5874,0.5839,2.7597,2.343,0.2509,0.327712,0.394698
Alec Burleson,STL,32.4076,29.2198,8.0378,1.2031,3.9223,2.6185,0.2917,0.338257,0.453562
Brandon Lowe,PIT,29.6442,26.4077,6.403,1.3632,3.8716,2.6739,0.2372,0.315463,0.44751
Kyle Teel,CHW,20.6727,17.963,4.3504,0.6297,2.4375,2.2533,0.2274,0.331782,0.391087
