#,Name,Team,G,PA,AB,H,HR,R,BB,HBP,OBP,SLG,wOBA,wRC+,ADP
432,Luis Peña,MIL,105,444,410,100,9,65,25,5,0.293,0.38,0.287,83,999
433,Cameron Cauley,TEX,124,512,470,107,14,72,36,2,0.284,0.391,0.288,84,999
434,Vinnie Pasquantino,KCR,141,590,524,133,24,61,54,5,0.325,0.45,0.327,107,999
435,Ryan Ignoffo,MIA,88,347,322,78,7,43,21,1,0.288,0.379,0.282,77,999
436,Tyler Stephenson,CIN,106,392,344,79,13,45,40,5,0.316,0.395,0.305,90,999
437,Ryan Ward,LAD,121,526,480,109,22,69,42,2,0.291,0.419,0.298,90,999
438,Osleivis Basabe,SFG,122,479,443,112,7,54,25,5,0.298,0.366,0.282,81,999
439,Cam Smith,HOU,140,508,456,112,12,60,44,6,0.319,0.39,0.303,94,999
440,Nathan Church,STL,123,490,442,112,7,62,33,8,0.315,0.355,0.291,87,999
441,Brooks Baldwin,CHW,124,470,427,110,16,56,33,3,0.314,0.426,0.315,101,999
442,Elijah Hainline,LAD,121,493,428,92,10,63,53,8,0.312,0.339,0.282,79,999
443,Brandon Winokur,MIN,131,563,518,117,19,72,34,9,0.284,0.396,0.29,84,999
444,James Tibbs III,LAD,130,557,483,107,20,70,62,5,0.314,0.398,0.304,94,999
445,Enmanuel Valdez,PIT,104,386,342,83,12,43,38,2,0.319,0.409,0.312,98,999
446,Nolan Schanuel,LAA,141,580,499,128,13,70,64,10,0.35,0.383,0.321,104,999
447,Jake McCarthy,COL,117,439,395,108,6,56,30,8,0.336,0.395,0.318,89,999
448,Angel Genao,CLE,112,482,445,110,7,59,32,2,0.299,0.362,0.279,78,999
449,Sammy Stafura,PIT,130,580,509,106,5,54,51,11,0.292,0.324,0.27,69,999
450,Taylor Trammell,HOU,104,362,314,69,12,44,42,3,0.315,0.398,0.31,99,999
451,Kyle Schwarber,PHI,125,555,468,97,28,72,79,6,0.328,0.425,0.327,108,999
452,Adrián Sugastey,SFG,93,356,334,79,5,31,15,2,0.272,0.332,0.251,60,999
453,Tommy Edman,LAD,94,370,338,80,9,47,24,4,0.293,0.367,0.284,80,999
454,Matthew Ellis,SEA,81,346,305,58,9,37,35,5,0.283,0.321,0.267,75,999
455,A.J. Ewing,NYM,143,629,564,141,5,86,54,4,0.316,0.355,0.289,87,999
456,Jacob Melton,TBR,100,395,362,82,12,52,30,2,0.289,0.378,0.287,81,999
457,Thayron Liranzo,DET,106,441,393,82,13,52,44,3,0.293,0.354,0.277,75,999
458,Yonathan Perlaza,,122,532,475,111,15,65,52,3,0.312,0.392,0.303,97,999
459,John Rave,KCR,115,447,394,92,10,55,42,2,0.308,0.378,0.299,88,999
460,Reed Trimble,BAL,93,365,328,76,11,51,27,4,0.294,0.396,0.297,91,999
461,Tyler Black,MIL,107,462,398,93,10,59,54,8,0.335,0.379,0.314,101,999
462,Dillon Lewis,MIA,129,540,496,111,20,69,39,4,0.285,0.401,0.293,85,999
463,Ramón Laureano,SDP,107,394,354,83,14,49,30,8,0.307,0.41,0.306,99,999
464,Bryan Ramos,BAL,117,476,431,97,14,53,33,8,0.291,0.371,0.284,82,999
465,Jansel Luis,ARI,126,548,510,132,6,66,26,5,0.299,0.371,0.287,81,999
466,Ryan Vilade,TBR,116,454,404,98,10,53,39,6,0.316,0.379,0.296,88,999
467,Dylan Jasso,MIA,133,543,495,121,13,60,35,9,0.304,0.382,0.291,84,999
468,Kenny Piper,TBR,80,300,267,51,9,34,24,7,0.273,0.341,0.266,67,999
469,Thomas Gavello,SFG,104,393,345,75,10,47,25,16,0.298,0.351,0.284,82,999
470,Bryant Betancourt,COL,112,417,376,89,10,43,32,3,0.3,0.356,0.281,64,999
471,Max Muncy,LAD,84,336,277,56,12,40,50,5,0.33,0.379,0.313,100,999
472,Bryce Teodosio,LAA,107,381,346,78,5,41,21,7,0.281,0.329,0.265,66,999
473,Demetrio Crisantes,ARI,79,351,315,80,6,46,28,4,0.319,0.375,0.295,87,999
474,Alex Jackson,MIN,80,275,250,50,10,32,19,5,0.269,0.384,0.277,75,999
475,Jeremiah Jackson,BAL,124,495,465,113,17,53,24,3,0.283,0.406,0.284,81,999
476,J.C. Escarra,NYY,85,303,269,61,6,33,27,4,0.304,0.353,0.282,80,999
477,Brooks Lee,MIN,128,509,468,117,13,52,34,3,0.303,0.389,0.291,84,999
478,Justin Foscue,TEX,105,451,402,92,13,53,39,7,0.307,0.388,0.297,90,999
479,Edouard Julien,COL,127,494,420,105,11,53,67,4,0.357,0.388,0.327,96,999
480,Mike Yastrzemski,ATL,102,369,319,69,11,45,43,3,0.313,0.382,0.302,92,999
481,Victor Caratini,MIN,87,287,252,60,6,24,23,8,0.317,0.345,0.284,80,999
482,Christian Koss,SFG,101,340,311,77,6,42,18,5,0.298,0.36,0.282,81,999
483,Edmundo Sosa,PHI,109,314,290,71,8,37,11,8,0.289,0.39,0.282,77,999
484,Garrett Mitchell,MIL,65,227,200,46,5,29,23,2,0.314,0.375,0.301,93,999
485,Luis Suisbel,SEA,120,519,469,97,16,55,34,12,0.276,0.354,0.27,77,999
486,Eli White,ATL,106,316,289,68,7,43,20,5,0.295,0.356,0.284,80,999
487,Nate Furman,SFG,82,324,280,70,5,46,32,8,0.343,0.35,0.305,97,999
488,Miguel Amaya,CHC,88,292,260,61,8,28,20,7,0.303,0.381,0.293,88,999
489,Ramón Urías,STL,97,330,297,71,8,32,25,4,0.303,0.374,0.291,87,999
490,Wyatt Young,NYM,114,432,378,86,3,46,44,3,0.311,0.288,0.268,72,999
491,Tyler Tolbert,KCR,115,412,366,85,5,55,25,6,0.29,0.336,0.269,67,999
492,Nate Eaton,BOS,113,417,377,90,8,52,28,6,0.3,0.366,0.288,79,999
493,Mickey Gasper,BOS,87,307,267,63,6,35,32,6,0.329,0.363,0.303,89,999
494,Gage Workman,DET,113,443,398,88,14,65,40,3,0.296,0.392,0.297,89,999
495,George Valera,CLE,94,378,335,80,13,45,38,2,0.317,0.409,0.311,100,999
496,Adael Amador,COL,124,519,457,118,12,56,52,5,0.339,0.394,0.316,88,999
497,Jack Brannigan,PIT,83,341,304,67,8,41,27,7,0.297,0.355,0.284,78,999
498,Kody Clemens,MIN,105,363,330,74,14,44,27,3,0.287,0.415,0.298,89,999
499,Luke Shliger,DET,62,249,216,46,2,17,24,4,0.3,0.278,0.256,63,999
500,Andrew Pinckney,WSN,124,497,452,112,13,63,32,10,0.311,0.378,0.298,90,999
501,DaShawn Keirsey Jr.,ATL,112,389,355,83,6,44,26,5,0.293,0.349,0.276,74,999
502,Tyler Callihan,PIT,100,392,352,83,7,40,30,3,0.301,0.361,0.289,81,999
503,Jerar Encarnacion,SFG,95,364,333,83,13,39,26,3,0.308,0.411,0.306,97,999
504,Logan Wagner,LAD,128,538,471,94,14,73,53,11,0.294,0.331,0.273,73,999
505,Jo Adell,LAA,135,495,451,106,26,58,34,8,0.299,0.457,0.318,103,999
506,Tsung-Che Cheng,BOS,128,493,431,98,6,56,46,3,0.304,0.332,0.281,74,999
507,Cedric Mullins,TBR,110,415,368,80,11,47,37,4,0.293,0.364,0.287,82,999
508,Sean Keys,TOR,128,530,461,93,16,56,55,10,0.298,0.362,0.286,82,999
509,Daylen Lile,WSN,141,575,521,136,11,75,41,7,0.321,0.409,0.313,100,999
510,Cal Stevenson,DET,99,359,303,67,5,45,46,1,0.322,0.33,0.29,84,999
511,Dylan Carlson,PHI,114,374,322,74,8,41,42,6,0.326,0.36,0.301,94,999
512,Trevor Story,BOS,111,450,419,101,12,52,24,4,0.287,0.384,0.288,79,999
513,Brock Rodden,SEA,98,404,366,83,9,46,29,5,0.29,0.355,0.279,83,999
514,Josue De Paula,LAD,127,527,460,108,15,66,61,4,0.328,0.38,0.309,98,999
515,Cooper Johnson,TEX,86,314,277,52,6,27,31,3,0.275,0.303,0.254,61,999
516,Danny Jansen,TEX,86,295,255,50,10,31,34,4,0.298,0.361,0.289,85,999
517,Cayden Wallace,WSN,123,488,446,104,9,51,31,6,0.29,0.354,0.274,74,999
518,Rafael Marchán,PHI,60,209,185,43,3,19,17,4,0.308,0.341,0.281,76,999
519,Trei Cruz,DET,114,484,422,96,9,61,56,2,0.319,0.353,0.295,87,999
520,Jonah Bride,TEX,102,378,323,70,7,38,45,6,0.32,0.331,0.284,82,999
521,Mickey Moniak,COL,120,423,393,103,18,54,23,4,0.307,0.468,0.328,97,999
522,Bryan Torres,STL,113,447,381,102,4,52,52,2,0.355,0.346,0.311,101,999
523,Kehden Hettiger,PHI,106,428,382,79,11,42,41,2,0.285,0.356,0.28,76,999
524,Zach McKinstry,DET,117,393,350,82,7,46,35,4,0.309,0.363,0.292,86,999
525,Chad Stevens,COL,120,480,430,108,12,55,39,7,0.322,0.402,0.31,84,999
526,Jose Siri,LAA,102,341,311,61,12,44,22,4,0.256,0.36,0.263,65,999
527,Javier Rivas,PIT,130,507,472,111,13,50,16,11,0.275,0.371,0.263,64,999
528,Dominic Canzone,SEA,118,432,394,97,15,54,32,3,0.306,0.411,0.303,100,999
529,Lane Thomas,KCR,108,429,382,89,12,51,37,5,0.305,0.395,0.301,89,999
530,Joey Wiemer,WSN,115,405,363,77,10,44,35,5,0.289,0.347,0.278,76,999
531,Heriberto Hernández,MIA,121,462,403,94,17,57,50,5,0.323,0.412,0.316,101,999
532,Sam Petersen,WSN,66,247,216,51,5,41,17,9,0.314,0.375,0.302,93,999
533,Nick Goodwin,TOR,104,403,356,77,10,51,32,10,0.298,0.343,0.28,78,999
534,Bryan Rincon,PHI,99,382,337,66,9,57,35,3,0.277,0.344,0.272,70,999
535,Phillip Glasser,WSN,113,484,433,114,5,57,39,7,0.333,0.351,0.298,90,999
536,Bryan Lavastida,ATH,88,353,316,74,8,39,28,6,0.307,0.37,0.29,81,999
537,Nick Allen,HOU,125,429,383,88,3,41,33,3,0.294,0.3,0.26,64,999
538,Jack Penney,DET,97,388,343,73,6,41,37,6,0.299,0.324,0.272,72,999
539,Jared Sundstrom,SEA,117,478,432,91,11,58,36,8,0.282,0.356,0.278,83,999
540,Drew Millas,WSN,84,307,279,66,5,31,24,1,0.297,0.348,0.277,75,999
541,Andruw Monasterio,BOS,110,347,307,77,7,43,33,4,0.329,0.378,0.306,91,999
542,Triston Casas,BOS,100,387,332,79,15,41,51,3,0.344,0.425,0.33,108,999
543,Matthew Wood,MIL,94,376,331,71,5,30,36,6,0.301,0.299,0.266,68,999
544,Jonathan India,KCR,122,507,434,104,10,61,55,13,0.34,0.369,0.309,95,999
545,Cam Devanney,,108,421,379,86,9,40,32,6,0.296,0.361,0.282,77,999
546,Alexander Canario,,95,339,307,71,12,38,28,3,0.301,0.404,0.301,90,999
547,Cutter Coffey,TOR,112,482,439,97,13,65,36,5,0.286,0.36,0.276,75,999
548,Buddy Kennedy,SFG,110,435,382,95,7,50,41,7,0.329,0.366,0.301,94,999
549,Allan Castro,BOS,121,498,448,108,9,54,44,4,0.313,0.366,0.292,81,999
550,Bill Knight,SEA,112,479,430,94,5,59,30,15,0.291,0.305,0.258,69,999
551,Andrew Cossetti,MIN,84,348,303,60,9,36,36,8,0.299,0.356,0.284,79,999
552,Jackson Strong,DET,109,459,413,88,8,54,36,7,0.285,0.334,0.273,73,999
553,Myles Straw,TOR,118,368,330,78,3,45,28,1,0.296,0.318,0.266,69,999
554,Oswaldo Cabrera,NYY,102,336,301,70,8,42,28,3,0.302,0.359,0.286,83,999
555,Nick Sogard,BOS,115,452,396,96,5,57,48,4,0.329,0.338,0.294,83,999
556,Austin Hays,CHW,108,405,369,91,13,54,28,4,0.304,0.42,0.306,95,999
557,Mike Antico,COL,105,418,377,87,7,49,31,5,0.296,0.342,0.279,79,999
558,Mason McCoy,SDP,100,376,337,69,6,41,30,2,0.272,0.315,0.254,63,999
559,Michael Siani,BAL,123,444,390,82,7,54,42,3,0.29,0.31,0.265,68,999
560,Colton Ledbetter,STL,122,507,462,113,9,58,33,5,0.298,0.366,0.288,85,999
561,Wuilfredo Antunez,CLE,110,452,418,101,13,56,29,3,0.294,0.414,0.301,93,999
562,Bryce Johnson,SDP,107,330,289,66,4,38,28,6,0.309,0.325,0.281,82,999
563,Corey Joyce,TEX,93,378,327,75,4,40,40,9,0.328,0.321,0.288,81,999
564,Jefferson Rojas,CHC,124,527,475,106,12,65,41,6,0.29,0.349,0.269,72,999
565,Jackson Appel,CHW,85,344,294,65,2,39,36,9,0.322,0.293,0.269,69,999
566,Livan Soto,,107,427,377,86,5,43,40,4,0.307,0.308,0.272,73,999
567,Jon Jon Gazdar,STL,108,475,431,107,1,48,25,17,0.314,0.302,0.269,72,999
568,Nick Madrigal,LAA,86,265,241,61,0,26,13,8,0.313,0.311,0.273,72,999
569,Jonny DeLuca,TBR,95,355,323,76,9,38,25,5,0.299,0.381,0.293,85,999
570,Austin Gauthier,LAD,114,472,404,94,5,57,60,5,0.337,0.329,0.294,87,999
571,Xavier Isaac,TBR,87,353,305,70,15,45,41,5,0.329,0.436,0.328,110,999
572,Willson Contreras,BOS,95,390,336,81,11,43,36,15,0.339,0.402,0.319,100,999
573,Daniel Schneemann,CLE,112,395,353,78,9,44,37,2,0.297,0.36,0.285,82,999
574,Will Brennan,SFG,104,371,347,96,6,37,19,3,0.318,0.395,0.304,96,999
575,Jordan Beck,COL,134,542,491,126,17,63,47,2,0.323,0.428,0.32,91,999
576,Cameron Leary,ATH,122,525,461,105,8,56,48,5,0.305,0.349,0.288,80,999
577,Devin Mann,,91,371,328,73,6,40,34,6,0.305,0.341,0.285,83,999
578,Adrian Placencia,LAA,124,529,462,93,15,60,52,7,0.29,0.344,0.278,75,999
579,Michael Helman,TEX,93,360,327,71,9,48,22,5,0.274,0.361,0.271,73,999
580,Nick Loftin,KCR,107,415,362,89,8,48,43,5,0.331,0.37,0.299,87,999
581,César Salazar,HOU,76,275,235,49,5,26,24,11,0.308,0.311,0.272,73,999
582,Jonah Cox,SFG,120,532,480,109,5,73,34,7,0.287,0.319,0.265,70,999
583,Michael Massey,KCR,108,406,375,92,10,40,21,5,0.291,0.381,0.287,79,999
584,Colby Shade,MIA,113,446,390,84,4,58,38,15,0.309,0.308,0.276,73,999
585,Bob Seymour,,113,458,420,101,19,60,33,3,0.299,0.429,0.307,95,999
586,Luis Rengifo,MIL,115,433,397,97,9,44,29,4,0.301,0.365,0.286,83,999
587,Jase Bowen,SDP,114,454,414,95,12,54,28,6,0.286,0.374,0.281,82,999
588,Zach DeLoach,,104,424,379,87,8,51,39,3,0.304,0.348,0.286,81,999
589,Abimelec Ortiz,WSN,133,524,471,111,19,66,43,6,0.305,0.41,0.306,95,999
590,Matt Vierling,DET,106,408,369,91,10,49,33,4,0.314,0.39,0.302,92,999
591,Silas Ardoin,BAL,98,367,323,66,6,26,37,3,0.29,0.307,0.263,67,999
592,Marco Dinges,MIL,85,347,304,67,9,37,33,6,0.305,0.359,0.289,84,999
593,Victor Robles,SEA,83,274,242,58,5,32,18,8,0.311,0.355,0.29,91,999
594,Cooper Bowman,TBR,96,411,361,79,8,48,36,6,0.298,0.341,0.279,74,999
595,Jace Avina,NYY,114,466,414,92,14,52,36,12,0.3,0.374,0.293,88,999
596,Freddy Fermin,SDP,88,296,270,62,6,28,19,2,0.283,0.337,0.262,69,999
597,Rodolfo Durán,SDP,82,321,293,66,9,36,19,3,0.278,0.372,0.271,75,999
598,Ben Malgeri,DET,107,410,370,88,9,57,29,8,0.305,0.376,0.294,87,999
599,Michael Trautwein,CIN,83,283,253,49,7,29,24,5,0.276,0.324,0.261,59,999
600,Forrest Wall,,92,349,309,71,5,45,31,4,0.306,0.327,0.28,79,999
601,Justyn-Henry Malloy,TBR,127,491,416,101,14,60,64,7,0.35,0.394,0.321,105,999
602,Cody Freeman,TEX,124,507,469,115,14,61,29,3,0.291,0.388,0.285,82,999
603,Mark Coley II,MIL,89,322,289,68,6,35,22,8,0.306,0.356,0.292,84,999
604,Gage Miller,MIA,111,452,404,90,5,43,38,8,0.301,0.307,0.271,70,999
605,Jose Devers,CLE,125,519,484,108,11,62,27,6,0.272,0.351,0.258,63,999
606,Marco Luciano,NYY,123,512,447,96,18,64,60,2,0.309,0.38,0.297,90,999
607,Yonny Hernández,NYM,104,386,339,81,2,44,34,5,0.317,0.301,0.272,75,999
608,Christian Cairo,PHI,116,420,366,81,3,47,41,8,0.311,0.306,0.271,70,999
609,Jack Dunn,,95,366,313,68,4,40,41,6,0.318,0.294,0.269,70,999
610,Jonah Heim,ATH,98,356,327,74,8,33,25,1,0.281,0.343,0.265,67,999
611,Andy Ibáñez,NYM,105,321,293,71,6,32,23,3,0.302,0.369,0.289,80,999
612,Luis Matos,MIL,125,484,447,113,15,60,27,6,0.302,0.409,0.298,92,999
613,Ryan Campos,STL,97,413,369,80,2,41,41,2,0.298,0.298,0.265,69,999
614,Christian Knapczyk,CLE,115,516,459,105,5,54,42,11,0.307,0.316,0.277,76,999
615,Brock Jones,TBR,104,388,339,65,15,48,40,5,0.285,0.383,0.289,83,999
616,Austin Hedges,CLE,64,171,148,27,3,12,15,2,0.263,0.264,0.23,44,999
617,Brett Bateman,CHC,107,450,393,92,3,48,49,2,0.321,0.293,0.277,77,999
618,Trevor Hauver,TEX,104,432,376,84,10,47,49,4,0.317,0.37,0.298,91,999
619,Adrian Santana,TBR,111,491,455,111,2,62,28,2,0.288,0.31,0.254,59,999
620,Aron Estrada,BAL,131,528,484,121,11,57,34,7,0.307,0.384,0.296,90,999
621,Rafael Lantigua,TOR,117,462,402,97,5,58,49,3,0.325,0.333,0.285,82,999
622,Moisés Ballesteros,CHC,150,609,547,146,17,65,51,5,0.332,0.411,0.315,103,999
623,Esteban González,CLE,114,470,434,104,9,61,25,8,0.291,0.371,0.289,85,999
624,Tyler Heineman,TOR,51,154,133,28,2,16,13,4,0.298,0.301,0.266,69,999
625,Carson DeMartini,PHI,128,524,473,109,11,63,40,9,0.302,0.353,0.286,80,999
626,Fenwick Trimble,MIA,90,380,338,81,6,36,32,7,0.317,0.364,0.299,89,999
627,Cole Messina,COL,110,427,388,91,5,35,33,5,0.302,0.33,0.273,59,999
628,Ralphy Velazquez,CLE,142,603,551,135,22,80,44,6,0.307,0.436,0.309,98,999
629,Brandon Lowe,PIT,110,437,393,92,15,51,37,4,0.304,0.399,0.302,91,999
630,Steward Berroa,PHI,105,381,333,72,5,51,37,3,0.298,0.321,0.273,73,999
631,Bobby Dalbec,,105,400,358,79,12,45,35,5,0.298,0.374,0.29,81,999
632,Marcos Castañon,SDP,114,464,421,95,13,47,34,6,0.291,0.373,0.28,81,999
633,Sam Kulasingam,KCR,126,520,460,114,2,61,42,3,0.312,0.33,0.281,75,999
634,Dylan Campbell,PHI,131,524,479,107,13,61,37,4,0.283,0.359,0.276,73,999
635,Matt Gorski,LAD,95,362,335,75,16,46,21,1,0.269,0.424,0.288,83,999
636,Chris Williams,,81,302,265,51,10,32,31,3,0.281,0.347,0.273,76,999
637,Johanfran Garcia,BOS,62,257,236,53,9,35,15,4,0.28,0.369,0.284,76,999
638,Jackson Cluff,NYM,99,358,311,60,7,42,37,4,0.285,0.312,0.267,72,999
639,Christian Franklin,WSN,114,473,413,100,8,58,50,7,0.333,0.354,0.297,89,999
640,Sam Haggerty,TEX,94,302,267,64,4,38,27,4,0.317,0.352,0.293,88,999
641,Tyrone Taylor,NYM,105,321,294,66,6,38,16,7,0.279,0.361,0.272,75,999
642,Ahbram Liendo,BOS,133,506,459,106,4,53,39,4,0.295,0.298,0.264,62,999
643,Wade Meckler,LAA,104,431,382,100,4,48,44,2,0.34,0.353,0.306,94,999
644,Liover Peguero,PHI,123,485,445,106,12,55,30,3,0.289,0.378,0.28,75,999
645,Colby Halter,ATH,119,479,427,101,6,51,42,5,0.31,0.356,0.293,84,999
646,Spencer Steer,CIN,132,540,479,115,17,62,52,7,0.322,0.409,0.314,96,999
647,Ryan Kreidler,MIN,105,381,329,66,6,41,42,6,0.301,0.316,0.273,72,999
648,Miguel Rojas,LAD,92,291,265,63,4,27,19,3,0.294,0.328,0.266,69,999
649,Tyler Locklear,ARI,121,516,458,114,14,62,42,13,0.328,0.404,0.31,97,999
650,Derek Hill,CHW,93,329,299,68,7,40,22,3,0.285,0.348,0.274,73,999
651,Griffin Conine,MIA,101,391,346,78,11,42,39,4,0.309,0.37,0.296,87,999
652,Charles Leblanc,,86,341,299,69,7,35,36,4,0.321,0.348,0.293,86,999
653,Kyle DeBarge,MIN,123,549,492,106,8,70,47,7,0.291,0.329,0.27,70,999
654,Shawn Ross,PIT,82,298,265,48,8,28,27,4,0.266,0.317,0.255,59,999
655,Murphy Stehly,MIN,70,270,240,58,5,31,17,10,0.316,0.358,0.293,86,999
656,Chas McCormick,CHC,108,322,283,62,8,36,27,5,0.295,0.346,0.279,78,999
657,Chandler Simpson,TBR,126,531,491,138,0,68,30,0,0.321,0.33,0.285,80,999
658,Seaver King,WSN,128,545,504,120,6,63,27,5,0.282,0.325,0.261,64,999
659,Chase DeLauter,CLE,54,221,198,50,6,28,21,0,0.321,0.409,0.313,102,999
660,Robert Hassell III,WSN,131,519,474,116,9,58,39,3,0.306,0.346,0.283,80,999
661,Vidal Bruján,NYM,108,326,293,67,5,38,26,4,0.298,0.334,0.275,78,999
662,Nick Schnell,SDP,120,475,434,97,16,61,32,3,0.279,0.399,0.288,86,999
663,Joey Bart,PIT,91,314,274,62,7,30,32,7,0.322,0.343,0.289,82,999
664,Carlos Cortes,ATH,102,379,341,81,10,42,33,2,0.306,0.387,0.295,85,999
665,Heston Kjerstad,BAL,103,397,360,87,12,46,26,8,0.305,0.403,0.3,93,999
666,Nolan Arenado,ARI,93,379,345,84,8,36,26,4,0.301,0.368,0.283,78,999
667,Wenceel Pérez,DET,113,446,401,96,11,57,36,4,0.306,0.392,0.297,89,999
668,Connor Burns,CIN,89,333,300,53,11,31,25,2,0.242,0.333,0.243,47,999
669,Cole Conn,ATH,85,324,288,62,4,33,28,6,0.296,0.316,0.266,65,999
670,Grae Kessinger,NYM,93,343,301,65,6,43,35,3,0.301,0.322,0.27,74,999
671,Yoán Moncada,LAA,86,321,285,64,10,35,31,4,0.308,0.386,0.301,91,999
672,Ronny Simon,PIT,111,456,407,105,8,58,38,3,0.323,0.381,0.303,92,999
673,Victor Arias,TOR,114,508,461,110,9,67,38,7,0.305,0.362,0.29,85,999
674,Collin Price,HOU,102,377,338,71,12,38,31,5,0.284,0.364,0.28,78,999
675,Nick Raposo,SEA,77,294,268,56,4,26,22,2,0.273,0.306,0.25,63,999
676,Echedry Vargas,MIA,102,413,389,91,11,54,15,5,0.27,0.378,0.275,72,999
677,Dante Nori,PHI,135,602,534,127,4,60,51,4,0.306,0.328,0.279,75,999
678,Austin Shenton,,97,402,355,74,11,43,42,3,0.296,0.355,0.282,85,999
679,Nick Morabito,NYM,123,516,468,114,5,62,39,7,0.31,0.333,0.28,81,999
680,Zyhir Hope,LAD,140,557,498,111,14,71,53,5,0.303,0.363,0.29,85,999
681,Teoscar Hernández,LAD,113,461,425,106,17,51,28,5,0.302,0.424,0.308,97,999
682,Jose Trevino,CIN,82,253,235,53,4,24,14,1,0.27,0.319,0.246,49,999
683,Ethan Anderson,BAL,99,389,352,83,5,33,31,2,0.298,0.332,0.273,74,999
684,Izaac Pacheco,DET,113,476,427,89,14,62,44,2,0.284,0.361,0.275,74,999
685,Carlos Pérez,HOU,80,312,279,58,10,33,25,5,0.282,0.369,0.278,76,999
686,Nick Fortes,TBR,98,288,259,57,6,29,18,6,0.284,0.324,0.259,62,999
687,Endy Rodríguez,PIT,102,407,366,90,10,57,35,3,0.314,0.402,0.308,95,999
688,Jake Bauers,MIL,105,325,281,61,14,38,40,3,0.32,0.423,0.323,108,999
689,Ali Sánchez,NYY,78,267,243,54,5,25,18,2,0.279,0.325,0.251,59,999
690,Tim Tawa,ARI,111,434,390,86,11,48,36,4,0.291,0.354,0.277,75,999
691,Luke Waddell,ATL,104,432,383,93,2,42,37,5,0.314,0.316,0.272,72,999
692,Edwin Arroyo,CIN,135,568,519,134,5,59,32,7,0.306,0.345,0.283,74,999
693,Jonathan Ornelas,NYY,115,459,413,89,8,46,37,6,0.288,0.31,0.261,66,999
694,Nate George,BAL,108,431,389,96,6,67,28,5,0.305,0.373,0.294,88,999
695,Ethan Salas,SDP,116,446,396,79,3,36,40,3,0.275,0.288,0.247,59,999
696,Ricardo Genovés,,73,262,237,49,6,25,19,4,0.275,0.329,0.258,62,999
697,Jancel Villarroel,SFG,108,459,414,97,7,50,30,12,0.303,0.338,0.279,79,999
698,Luke Raley,SEA,98,330,286,63,10,37,25,15,0.314,0.378,0.304,100,999
699,Max Kepler,,94,362,321,73,11,43,34,4,0.307,0.383,0.298,88,999
700,Payton Henry,NYY,74,271,247,55,8,30,16,7,0.288,0.352,0.268,70,999
701,Matthew Etzel,MIA,111,440,391,96,8,51,43,2,0.32,0.371,0.3,90,999
702,David Villar,,95,379,335,72,11,44,38,4,0.301,0.358,0.285,84,999
703,Shane McGuire,ATH,81,328,287,62,4,30,34,4,0.307,0.296,0.266,65,999
704,Hunter Feduccia,TBR,91,353,309,69,7,38,40,1,0.312,0.353,0.289,82,999
705,Austin Martin,MIN,98,369,317,79,3,41,40,8,0.346,0.334,0.302,92,999
706,Brewer Hicklen,ATL,94,375,331,69,12,48,33,9,0.296,0.369,0.288,82,999
707,Noah Miller,LAD,124,511,473,107,7,57,32,2,0.276,0.317,0.253,59,999
708,Gregory Barrios,TBR,112,434,403,99,1,49,20,5,0.287,0.298,0.252,58,999
709,Josh Adamczewski,MIL,91,359,317,72,6,45,31,5,0.301,0.353,0.286,82,999
710,Braedon Karpathios,SDP,126,524,464,100,13,58,55,3,0.302,0.358,0.284,84,999
711,Ariel Armas,CHC,100,386,352,73,5,27,27,6,0.275,0.304,0.244,55,999
712,Émilien Pitre,TBR,120,526,472,108,7,56,43,5,0.297,0.337,0.271,70,999
713,Freuddy Batista,HOU,76,320,295,67,8,33,16,8,0.284,0.376,0.277,76,999
714,Peyton Wilson,KCR,114,459,406,95,8,51,42,6,0.313,0.355,0.291,82,999
715,Salvador Perez,KCR,116,470,435,104,16,38,22,9,0.287,0.4,0.289,80,999
716,Héctor Rodríguez,CIN,145,588,553,143,18,81,28,3,0.296,0.412,0.302,87,999
717,Mike Trout,LAA,91,378,318,69,14,46,52,5,0.333,0.393,0.318,103,999
718,Hendry Mendez,MIN,131,526,459,118,7,62,53,7,0.34,0.364,0.306,95,999
719,Riley Tirotta,TOR,112,424,376,85,11,46,41,5,0.309,0.372,0.293,87,999
720,Ildemaro Vargas,ARI,88,316,292,72,3,27,17,3,0.293,0.336,0.267,67,999
721,Paul DeJong,DET,95,335,304,60,12,34,22,5,0.26,0.352,0.26,65,999
722,Thairo Estrada,,91,368,343,82,8,41,15,7,0.283,0.359,0.273,74,999
723,Ryan Cermak,TBR,47,187,168,35,5,23,13,5,0.283,0.357,0.279,76,999
724,Yunior Severino,,103,440,392,88,12,43,42,3,0.302,0.365,0.286,80,999
725,Gustavo Campero,LAA,96,352,309,75,8,44,26,13,0.326,0.392,0.311,98,999
726,Hayden Cantrelle,CHC,104,376,321,62,4,40,42,7,0.299,0.283,0.267,70,999
727,Trenton Brooks,,98,390,338,74,9,45,43,3,0.309,0.355,0.289,87,999
728,Chase Jaworsky,MIA,88,347,305,66,4,39,26,12,0.301,0.315,0.271,70,999
729,Axiel Plaz,PIT,85,329,299,64,11,33,22,5,0.277,0.371,0.269,68,999
730,Jared Young,NYM,96,377,329,75,12,44,37,7,0.316,0.392,0.307,99,999
731,A.J. Vukovich,ARI,122,507,468,112,15,58,34,3,0.294,0.391,0.286,81,999
732,Cristian Pache,NYM,103,317,284,61,5,29,28,2,0.289,0.317,0.265,70,999
