#,Name,Team,G,PA,AB,H,HR,R,BB,HBP,OBP,SLG,wOBA,wRC+,ADP
1893,Roismar Quintana,,86,341,316,68,3,28,18,3,0.262,0.285,0.233,45,999
1894,Caleb Hobson,COL,106,380,323,55,2,48,41,5,0.273,0.245,0.238,35,999
1895,Jaime Ferrer,MIN,108,401,362,73,4,34,17,15,0.263,0.307,0.233,44,999
1896,Colin Summerhill,,112,453,409,77,7,39,36,3,0.258,0.293,0.24,49,999
1897,Ed Howard,CHC,88,337,314,57,1,26,18,2,0.23,0.226,0.189,17,999
1898,Brock Vradenburg,PHI,105,410,364,66,6,37,42,1,0.266,0.28,0.243,51,999
1899,Dario Laverde,LAA,109,454,421,91,6,38,24,6,0.268,0.304,0.246,53,999
1900,Bubba Alleyne,,84,338,313,56,4,31,17,5,0.231,0.262,0.213,32,999
1901,Noelberth Romero,BAL,96,345,323,60,5,27,13,3,0.222,0.266,0.205,27,999
1902,C.J. Pittaro,ATH,118,499,453,92,1,39,37,8,0.275,0.26,0.235,43,999
