140,Jacob Lopez,ATH,17,23,102.2,46,13,108,40,1.14,1.28,4.03,999
141,Troy Melton,DET,19,28,103.2,46,13,88,29,1.13,1.22,3.99,999
142,Mike Burrows,HOU,22,27,110.2,47,15,108,36,1.22,1.21,3.82,999
143,Carmen Mlodzinski,PIT,13,37,101,40,9,86,33,0.8,1.27,3.56,999
144,Joey Cantillo,CLE,18,32,105,42,12,112,43,1.03,1.28,3.6,999
145,Caden Dana,LAA,21,22,117,56,14,109,43,1.08,1.26,4.31,999
146,Michael Forret,TBR,24,28,107.1,49,12,92,36,1.01,1.23,4.11,999
147,Noah Schultz,CHW,26,26,108,51,11,97,43,0.92,1.31,4.25,999
148,Braxton Garrett,MIA,20,20,102,45,12,86,26,1.06,1.23,3.97,999
149,Louis Varland,TOR,12,44,102,41,12,96,29,1.06,1.19,3.62,999
150,Edward Cabrera,CHC,23,23,117.2,51,14,118,43,1.07,1.2,3.9,999
151,Hagen Smith,CHW,29,29,108,52,11,102,45,0.92,1.29,4.33,999
152,Carson Whisenhunt,SFG,22,22,110.2,50,12,89,37,0.98,1.3,4.07,999
153,R.J. Gordon,NYM,18,23,112.2,54,13,95,37,1.04,1.26,4.31,999
154,Daniel Espino,CLE,23,23,100,42,12,111,47,1.08,1.33,3.78,999
155,Juaron Watts-Brown,BAL,23,23,109.1,52,13,101,41,1.07,1.3,4.28,999
156,Blake Money,BAL,15,23,102.2,48,12,86,30,1.05,1.25,4.21,999
157,Logan Allen,CLE,22,23,125.2,59,16,104,47,1.15,1.37,4.22,999
158,Jordan Wicks,CHC,19,27,95,41,11,84,28,1.04,1.23,3.88,999
159,Blade Tidwell,SFG,18,23,103.2,46,11,92,39,0.95,1.33,3.99,999
160,Antwone Kelly,PIT,25,25,106.2,47,11,82,37,0.93,1.31,3.96,999
161,Mitch Farris,LAA,20,22,113,56,14,106,43,1.12,1.33,4.46,999
162,Daniel Eagen,ARI,23,23,112.1,47,12,96,42,0.96,1.28,3.77,999
163,Santiago Suarez,TBR,23,23,108.1,52,14,81,30,1.16,1.25,4.32,999
164,Brandon Woodruff,MIL,21,21,101.2,47,16,102,31,1.42,1.24,4.16,999
165,Nestor German,BAL,21,23,107.2,51,14,94,34,1.17,1.24,4.26,999
166,Jackson Ferris,LAD,22,23,118,59,14,103,46,1.07,1.31,4.5,999
167,Casey Mize,DET,23,23,114.2,54,15,96,35,1.18,1.31,4.24,999
168,JR Ritchie,ATL,22,22,117,53,14,106,38,1.08,1.21,4.08,999
169,George Klassen,LAA,23,23,107.2,51,13,98,39,1.09,1.28,4.26,999
170,Ty Johnson,TBR,18,25,100.1,45,12,96,33,1.08,1.2,4.04,999
171,Jack Perkins,ATH,15,23,94,41,10,95,38,0.96,1.24,3.93,999
172,Hunter Barco,PIT,24,29,99.1,44,11,94,39,1,1.31,3.99,999
173,Ian Seymour,TBR,17,26,110,51,15,103,31,1.23,1.2,4.17,999
174,Joe Boyle,TBR,21,25,109,49,12,116,53,0.99,1.32,4.05,999
175,Henry Baez,ATH,24,24,109.2,50,11,80,36,0.9,1.28,4.1,999
176,Jonathan Santucci,NYM,22,24,109.1,51,13,95,38,1.07,1.26,4.2,999
177,Kade Morris,ATH,24,25,127.2,61,15,90,37,1.06,1.28,4.3,999
178,Gavin Stone,LAD,19,20,102.2,51,13,87,35,1.14,1.31,4.47,999
179,Chase Dollander,COL,23,23,109.1,56,13,94,41,1.07,1.33,4.61,999
180,Pierson Ohl,COL,11,29,95.2,43,13,75,16,1.22,1.23,4.04,999
181,Kevin Gausman,TOR,22,22,124,60,19,111,40,1.38,1.36,4.35,999
182,Duncan Davitt,CHW,22,24,116.1,58,15,89,34,1.16,1.3,4.49,999
183,Mason Miller,SDP,0,57,62.1,17,6,100,22,0.87,0.95,2.46,999
184,Joe Rock,CHW,15,27,104.1,46,11,87,34,0.95,1.28,3.97,999
185,Will Dion,CLE,16,26,97,42,10,79,31,0.93,1.3,3.9,999
186,Quinn Mathews,STL,24,24,104.1,46,10,103,49,0.86,1.34,3.97,999
187,Austin Peterson,CLE,22,23,117.1,54,15,86,28,1.15,1.25,4.14,999
188,Jacob deGrom,TEX,21,21,115,53,19,111,33,1.49,1.22,4.15,999
189,Ryan Weathers,NYY,19,21,102.2,49,12,92,37,1.05,1.28,4.29,999
