Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Brayan Buelvas,ATH,420,385,77,7,39,28,5,0.261905,0.314286
EJ Andrews Jr.,,322,286,53,6,31,25,3,0.257143,0.307692
Trevor Werner,KCR,414,375,72,8,43,30,3,0.254854,0.32
Modeifi Marte,ARI,391,362,83,3,32,22,4,0.278772,0.30663
Milkar Perez,,374,336,66,3,28,33,3,0.272727,0.27381
Victor Figueroa,BAL,413,370,73,9,42,39,2,0.276029,0.332432
Alberto Rios,LAA,225,201,32,3,17,14,3,0.223744,0.233831
Diego Mosquera,,265,239,47,0,17,17,5,0.264368,0.225941
Jackson Ross,WSN,352,319,60,7,36,26,2,0.251429,0.31348
Luis Ravelo,,309,284,54,3,25,20,3,0.249191,0.260563
Nolan Clifford,,243,216,43,0,18,20,4,0.278008,0.236111
Jhon Diaz,TBR,429,396,78,11,43,26,3,0.25,0.330808
Korey Holland,,351,329,66,6,28,18,1,0.242857,0.31307
Jared McKenzie,,381,358,73,6,39,13,5,0.240741,0.307263
Adam Retzbach,,415,368,69,8,29,32,9,0.26764,0.30163
Juan Corniel,,348,320,64,1,33,18,3,0.248538,0.25625
Casey Cook,TEX,496,445,85,5,47,34,9,0.260692,0.27191
Skyler Messinger,COL,417,385,85,7,36,20,8,0.270983,0.324675
Carter Young,,396,368,72,3,29,21,3,0.243655,0.266304
Kamren James,TBR,282,256,48,4,26,15,7,0.250896,0.265625
Christopher Paciolla,,264,247,44,2,18,11,5,0.227273,0.246964
Haydn McGeary,,401,357,71,8,33,37,4,0.279302,0.305322
Donta' Williams,,294,263,47,2,25,25,5,0.261905,0.250951
Esmith Pineda,CIN,483,434,94,9,49,32,8,0.279749,0.331797
Yhoswar Garcia,,341,314,64,1,36,18,2,0.25,0.257962
Brayden Jobert,,373,332,59,7,33,29,9,0.260054,0.277108
Fernando Peguero,BAL,354,319,65,2,32,24,3,0.26361,0.260188
Dyan Jorge,COL,486,445,103,2,56,32,3,0.286307,0.285393
Bladimir Restituyo,,430,404,87,5,43,11,3,0.239905,0.29703
Brandon Pimentel,,347,326,70,4,29,9,10,0.256484,0.300613
Wyatt Hoffman,SDP,279,242,38,1,23,21,7,0.243542,0.202479
Cole McConnell,,389,349,68,5,38,30,9,0.275064,0.272206
Mairo Martinus,LAD,425,392,77,9,50,25,3,0.247059,0.311224
Andy Garriola,CHC,418,387,72,10,40,20,7,0.23741,0.315245
Drew Vogel,,418,377,60,8,33,27,9,0.230769,0.251989
Jose Sanabria,,198,181,31,1,16,13,2,0.233503,0.226519
Corey Collins,NYM,288,241,34,5,23,33,10,0.267361,0.228216
Johnfrank Salazar,,317,290,61,2,26,18,5,0.266667,0.275862
Titus Dumitru,PIT,468,430,90,6,44,30,6,0.269231,0.316279
Antonio Anderson,BOS,442,402,81,5,41,33,4,0.266968,0.288557
Ryan Wrobleski,,258,236,45,4,21,14,7,0.255814,0.283898
Alfredo Velásquez,,370,354,81,1,40,10,1,0.251366,0.274011
Mason Guerra,ATL,413,372,69,10,34,35,4,0.261501,0.298387
Nathan Hickey,BOS,475,418,89,12,46,50,4,0.301053,0.358852
