Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Bryce Elder,ATL,26,26,144.3,17,121,47,1.06029,1.29591,4.30353
Zack Littell,ARI,24,27,140,21,103,29,1.35,1.27143,4.30714
Michael King,SDP,20,21,109.3,15,112,41,1.23513,1.29003,3.87008
Edward Cabrera,CHC,24,24,123,15,127,46,1.09756,1.19512,3.87805
Nick Pivetta,SDP,23,25,137,23,141,41,1.51095,1.18978,4.13869
Elmer Rodríguez,NYY,23,24,126.3,16,109,48,1.14014,1.29058,4.27553
Ryan Johnson,LAA,14,30,80.7,9,76,25,1.00372,1.25155,3.90335
Michael Wacha,KCR,23,23,127.3,17,97,39,1.20189,1.31186,4.38335
Carmen Mlodzinski,PIT,13,38,101.3,9,87,33,0.799605,1.26357,3.5538
Zac Gallen,ARI,27,27,158.3,21,140,50,1.19394,1.25079,3.92293
Casey Mize,SDP,24,24,120,16,103,36,1.2,1.29167,4.2
Logan Allen,CLE,24,25,132,17,110,49,1.15909,1.37121,4.22727
Mitch Bratt,ARI,22,23,114,14,98,29,1.10526,1.2193,3.78947
Mike Burrows,HOU,22,27,110.3,15,110,37,1.22393,1.21487,3.835
Jared Jones,PIT,20,20,103.3,11,92,35,0.958374,1.25847,3.92062
Braxton Garrett,CHC,20,20,101.7,12,87,26,1.06195,1.21927,3.89381
AJ Smith-Shawver,ATL,25,25,103.7,12,108,39,1.04147,1.2729,3.73192
Leandro Lopez,TEX,24,25,99.7,11,95,41,0.992979,1.31394,4.15246
Chen Zhong-Ao Zhuang,ATH,20,23,117,16,89,28,1.23077,1.24786,4.38462
Tylor Megill,NYM,21,21,96.7,11,103,41,1.02378,1.34436,4.28128
Clarke Schmidt,NYY,18,21,95.7,11,88,34,1.03448,1.27482,4.13793
Thomas White,MIA,26,26,106.3,11,108,47,0.931326,1.31703,4.06397
Janson Junk,MIA,18,24,112.3,14,80,24,1.12199,1.28228,4.40784
Troy Melton,DET,19,28,102.7,13,89,30,1.13924,1.24635,4.03116
Robert Gasser,MIL,19,22,92.3,11,87,29,1.07259,1.22427,3.99783
Jonathan Cannon,CHW,21,25,124.3,16,94,40,1.15849,1.32743,4.56154
Kyle Harrison,MIL,23,27,111.7,15,120,41,1.20859,1.2265,4.02865
Nick Martinez,TBR,17,34,120,13,86,37,0.975,1.34167,4.2
Louis Varland,TOR,13,46,104,13,99,29,1.125,1.19231,3.63462
Ty Johnson,TBR,18,25,96.7,11,94,32,1.02378,1.19959,4.09514
Shohei Ohtani,LAD,19,19,95.3,13,110,37,1.2277,1.14376,3.77754
Kendry Rojas,MIN,25,26,98.7,10,89,37,0.911854,1.31712,4.19453
Luis Severino,ATH,22,22,125,16,99,39,1.152,1.328,4.536
David Davalillo,TEX,23,24,104.7,12,86,33,1.03152,1.25119,4.29799
Ian Seymour,TBR,18,27,114.3,16,108,32,1.25984,1.18985,4.17323
Chase Petty,CIN,25,26,115.3,14,87,47,1.0928,1.39636,5.07372
Mason Barnett,ATH,24,26,123.3,15,105,49,1.09489,1.35442,4.45255
John Holobetz,BOS,17,21,110.3,13,81,31,1.06074,1.2874,4.24297
Andrew Painter,PHI,24,24,111.3,16,110,42,1.2938,1.30279,4.44744
Luis Castillo,CHW,24,25,140.7,21,125,40,1.34328,1.24378,4.02985
Carson Whisenhunt,SFG,23,23,110.3,12,89,38,0.979148,1.3146,4.16138
Hurston Waldrep,ATL,24,25,127.3,14,113,49,0.989788,1.31186,4.10055
Joey Cantillo,CLE,18,32,102.3,12,111,43,1.05572,1.29032,3.69501
Adam Mazur,MIA,22,24,116.3,14,86,33,1.08341,1.28977,4.17885
Carlos Rodriguez,MIL,18,23,103,12,94,40,1.04854,1.28155,4.28155
Ryan Weiss,HOU,21,24,126.7,17,124,47,1.20758,1.2865,4.191
Konner Eaton,COL,24,25,122,15,99,43,1.10656,1.36885,4.57377
Andre Pallante,STL,23,30,126.7,11,90,47,0.781373,1.35754,4.191
Jeffrey Springs,ATH,22,24,124,19,104,42,1.37903,1.34677,4.35484
Jack Perkins,ATH,15,23,91.7,10,95,37,0.981461,1.23228,3.92585
Jordan Wicks,CHC,19,27,92,11,82,27,1.07609,1.23913,3.91304
Joe Boyle,TBR,22,26,110,12,120,57,0.981818,1.34545,4.09091
Cody Ponce,TOR,20,21,117.7,18,112,37,1.37638,1.26593,4.28207
Brendan Beck,NYY,21,23,109,15,85,28,1.23853,1.22018,4.29358
Jack Wenninger,NYM,21,23,115.3,14,96,38,1.0928,1.30095,4.37121
Johan Oviedo,BOS,20,22,97.7,11,93,41,1.01331,1.32037,4.14534
Griffin Jax,TBR,1,65,62.3,5,80,16,0.722311,1.04334,2.88925
Connor Prielipp,MIN,27,28,94.3,10,87,34,0.954401,1.30435,4.00848
Gavin Stone,LAD,19,20,100.7,13,87,34,1.16187,1.31082,4.55809
Jhoan Duran,PHI,0,65,65.3,3,77,20,0.413476,1.07198,2.61868
Mason Miller,SDP,0,57,61.3,6,100,22,0.880914,0.929853,2.3491
Matthew Boyd,CHC,22,22,120,17,104,36,1.275,1.28333,4.275
Dean Kremer,MIN,24,25,135.3,20,112,42,1.33038,1.31559,4.32372
Patrick Sandoval,BOS,19,19,96.3,9,84,43,0.841121,1.45379,4.11215
Parker Messick,CLE,24,25,120.3,16,114,38,1.19701,1.24688,3.81546
Landen Roupp,SFG,19,23,100.7,10,95,38,0.893744,1.30089,3.75372
TJ Nichols,TBR,20,22,106.7,14,86,29,1.18088,1.23711,4.38613
Foster Griffin,CLE,16,19,94.3,12,87,27,1.14528,1.27253,4.2948
Tyson Hardin,MIL,22,22,100.3,13,86,28,1.1665,1.21635,4.12762
Yordanny Monegro,BOS,24,26,94.7,11,84,32,1.04541,1.27772,3.99155
Blade Tidwell,SFG,18,23,102.3,11,91,40,0.967742,1.34897,4.04692
Hunter Barco,PIT,23,28,94,10,89,38,0.957447,1.31915,4.02128
JR Ritchie,ATL,23,23,117,14,104,39,1.07692,1.23932,4.15385
Ryne Nelson,ARI,21,27,128.7,17,105,34,1.18881,1.21212,3.91608
Duncan Davitt,ATL,23,25,119.7,16,91,35,1.20301,1.31161,4.58647
Tekoah Roby,STL,21,21,98.7,12,84,27,1.09422,1.21581,3.92097
Tanner Houck,BOS,16,18,97,9,75,32,0.835052,1.31959,4.26804
Stephen Kolek,KCR,22,27,121.7,11,83,39,0.813476,1.32293,4.21528
Brian Van Belle,TBR,15,22,96.3,13,67,21,1.21495,1.28764,4.29907
Austin Peterson,CLE,23,24,120.3,16,89,29,1.19701,1.27182,4.18953
Michael Forret,BAL,24,28,102.7,12,89,36,1.05161,1.25609,4.20643
Ben Hess,NYY,23,23,103.7,13,100,43,1.12825,1.28255,4.33944
Jedixson Paez,BOS,15,23,88.3,11,70,21,1.12118,1.23443,4.17894
Colton Gordon,MIL,21,25,115.3,17,98,34,1.32697,1.29228,4.29315
Gerrit Cole,NYY,17,17,102,15,93,31,1.32353,1.23529,4.14706
K.C. Hunt,TBR,22,24,104.3,14,93,34,1.20805,1.25599,4.22819
Coleman Crow,MIL,20,21,98.7,12,84,28,1.09422,1.20567,3.92097
Reynaldo López,ATL,16,34,97.7,11,98,35,1.01331,1.23849,3.59263
Cade Smith,CLE,0,68,68.3,5,89,21,0.658858,1.03953,2.7672
Juaron Watts-Brown,BAL,23,23,106.7,13,98,42,1.09653,1.33083,4.38613
Mitch Farris,LAA,21,23,114.7,15,107,45,1.17698,1.36007,4.62947
Pierson Ohl,COL,11,29,93.3,13,73,16,1.25402,1.25402,4.14791
Caden Dana,LAA,22,23,116.7,15,108,45,1.15681,1.29392,4.47301
Shota Imanaga,CHC,22,22,121.3,22,110,28,1.63232,1.1789,4.08079
George Klassen,LAA,23,23,104.3,13,95,39,1.12176,1.31352,4.40077
Andrew Alvarez,WSN,23,25,117.7,14,89,44,1.07052,1.39337,4.35854
Kade Morris,ATH,25,26,131,16,91,39,1.09924,1.29771,4.46565
Cade Cavalli,WSN,22,22,101.3,11,88,36,0.977295,1.30306,4.26456
Daniel Eagen,STL,23,23,109.3,12,94,44,0.988106,1.32662,3.87008
Noah Schultz,CHW,26,26,103,11,91,43,0.961165,1.34951,4.45631
Davis Martin,CHW,22,23,116.3,15,90,39,1.16079,1.32416,4.41101
Dustin May,MIL,18,20,109.7,12,94,38,0.984503,1.23063,4.02005
Jonathan Santucci,NYM,22,24,106,13,91,38,1.10377,1.30189,4.41509
Trey Gibson,BAL,21,24,106,13,96,36,1.10377,1.25472,4.33019
Ryan Weathers,NYY,19,21,98.3,12,89,36,1.09868,1.29196,4.39471
Kodai Senga,NYM,23,23,113.7,14,109,50,1.10818,1.32806,3.87863
Tanner Gordon,COL,22,22,107,18,78,25,1.51402,1.37383,5.04673
Blake Money,BAL,15,23,101.7,13,85,31,1.15044,1.27827,4.33628
