Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Patrick Sandoval,BOS,4.08,17.5121,35.812,3.88759,33.1402,14.6937,0.977,1.36656,3.96164
Cade Smith,CLE,0,28.0864,28.0864,2.69317,36.3777,8.6237,0.863,1.0834,2.91868
Brayan Bello,BOS,6.8,16.0346,46.5339,5.47032,38.1775,16.4707,1.058,1.40547,4.41936
Braxton Garrett,MIA,3.9,8.7148,25.6855,2.76833,23.5601,8.246,0.97,1.28029,3.793
Nick Pivetta,SDP,4.62,4.62,25.6629,3.84658,28.7114,8.6184,1.349,1.21747,3.95772
Tanner Gordon,COL,9.6,18.2914,59.6833,11.4658,43.9132,14.9033,1.729,1.4099,5.33338
Brandon Young,BAL,8.45,16.4747,54.8437,8.31187,45.9708,18.2389,1.364,1.36069,4.50514
Kris Bubic,KCR,5.2,8.4099,32.8576,3.88815,31.6113,12.9391,1.065,1.35391,4.05669
Slade Cecconi,CLE,11.05,11.05,60.3829,9.60088,49.6206,16.8869,1.431,1.34088,4.58212
Max Scherzer,TOR,9.24,14.1289,52.8854,9.68978,50.1442,16.1613,1.649,1.28895,4.6514
Spencer Arrighetti,HOU,10.24,13.4005,61.0736,9.22211,62.0965,29.3991,1.359,1.40451,4.67828
Drew Anderson,DET,0.66,27.1415,30.1215,3.07239,34.5706,10.6333,0.918,1.21002,3.43538
Clay Holmes,NYM,5.2,7.6074,31.2887,2.86813,27.1002,12.7652,0.825,1.37819,3.83051
Lance McCullers Jr.,HOU,5.76,14.4514,38.5772,4.805,39.0691,18.2926,1.121,1.39053,4.19542
Joe Musgrove,SDP,4.62,4.62,25.9724,3.52359,24.4012,7.174,1.221,1.24032,3.98726
Walbert Ureña,LAA,10.4,10.4,58.7347,6.34335,46.2036,32.7364,0.972,1.5623,4.57769
Ryan Johnson,LAA,5.85,13.0722,39.2469,5.76057,32.4704,12.542,1.321,1.32799,4.36779
Walker Buehler,SDP,9.24,12.4993,51.9499,7.24412,44.1893,21.6542,1.255,1.43639,4.64944
Griffin Canning,SDP,8.58,14.2837,50.8586,7.17671,45.9907,22.1647,1.27,1.41733,4.39426
Aaron Civale,ATH,11.22,11.22,60.4623,11.2594,50.0581,19.8951,1.676,1.41053,5.12873
Adrian Morejon,SDP,0,27.2963,27.2963,2.37781,29.0743,9.0149,0.784,1.18435,3.07931
Zack Littell,WSN,11.05,11.05,61.1926,11.2458,43.1422,15.4812,1.654,1.35719,4.96514
Trevor McDonald,SFG,6.6,11.4889,41.1555,3.87776,31.2739,15.5261,0.848,1.39308,4.10396
Emerson Hancock,SEA,8.45,18.0796,55.9496,8.07539,48.9888,17.8124,1.299,1.29767,4.19732
Carmen Mlodzinski,PIT,3.25,26.5216,39.8324,4.50106,34.825,14.3182,1.017,1.34259,4.03651
Peter Lambert,HOU,8.96,13.7007,55.263,8.47366,49.3839,23.1249,1.38,1.41299,4.66264
